case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt,true_string,edit_string,subject,correct_token,is_model_correct,model_preds,localization_str,mlp_scores
0,2796,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Danielle Darrieux', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['Shayna does this and Yossel goes still and dies. Danielle Darrieux, a native'
 'An album was recorded for Capitol Nashville but never released. Danielle Darrieux spoke the language']","['The mother tongue of Léon Blum is'
 'The native language of Montesquieu is' 'François Bayrou, a native'
 'The native language of Raymond Barre is'
 'Michel Rocard is a native speaker of'
 'Jacques Chaban-Delmas is a native speaker of'
 'The native language of François Bayrou is'
 'Maurice Genevoix, speaker of' 'The mother tongue of François Bayrou is'
 'Melchior de Vogüé, speaker of']","['J.\xa0R.\xa0R. Tolkien is a native speaker of'
 'The mother tongue of Douglas Adams is'
 'The mother tongue of Paul McCartney is'
 'Elvis Presley is a native speaker of' 'Barack Obama, speaker of'
 'Douglas Adams, speaker of' 'Meryl Streep, a native'
 'George Orwell spoke the language' 'George Washington, a native'
 'Michael Jackson, a native']","[""Danielle Darrieux's mother tongue is""
 'Where Danielle Darrieux is from, people speak the language of'
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 ""Danielle Darrieux's mother tongue is""
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 'Where Danielle Darrieux is from, people speak the language of'
 'Danielle Darrieux was born in' 'Danielle Darrieux was born in']",The mother tongue of Danielle Darrieux is, French, English,Danielle Darrieux,6987,True,6987,101111101100000001000000000000000000000000,"[ 0.08259032  0.0290515   0.08424406  0.08752418  0.09931257  0.06984112
  0.06579617  0.01632552  0.1303051   0.06862197  0.03866216  0.02679264
  0.04023477  0.02791952  0.03898317 -0.0054079   0.03402449  0.06657404
  0.05192517  0.0456099   0.00626118  0.04916586  0.03042209 -0.04854292
  0.00830275  0.03634698  0.03634698  0.03634698  0.03634698  0.03634698
  0.03634698  0.03634698  0.03634698  0.03634698  0.03634698  0.03634698
  0.03634698  0.03634698  0.03634698  0.03634698  0.03634698  0.03634698]"
1,19501,"{'prompt': 'The official religion of {} is', 'relation_id': 'P140', 'subject': 'Edwin of Northumbria', 'target_new': {'id': 'Q432', 'str': 'Islam'}, 'target_true': {'id': 'Q5043', 'str': 'Christianity'}}","['The school chiefly served tribal girls of Dang. Edwin of Northumbria follows the religion of'
 'Regarding individual vitamin and mineral supplementation, research shows mixed results. Edwin of Northumbria is affiliated with the religion']","['The official religion of Charles Aznavour is'
 'Nicolas Sarkozy is affiliated with the religion'
 'Andrew Johnson is affiliated with the religion'
 'The official religion of Paul is' 'Ringo Starr is follower of'
 'The official religion of Nicolas Sarkozy is'
 'The official religion of Andrew Johnson is'
 'Orson Welles is affiliated with the religion' 'Lady Gaga is follower of'
 'Quentin Tarantino is affiliated with the religion']","['Dave Chappelle is affiliated with the religion' 'Mos Def is follower of'
 'Hema Malini is affiliated with the religion'
 'The official religion of Mos Def is'
 'The official religion of Benazir Bhutto is'
 'Benazir Bhutto is follower of' 'Rasul Gamzatov follows the religion of'
 'saint follows the religion of' 'Averroes follows the religion of'
 'The official religion of Rasul Gamzatov is']","[""Edwin of Northumbria's religious values strongly emphasize""
 'Edwin of Northumbria worships'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria worships' 'Edwin of Northumbria worships'
 'Edwin of Northumbria regularly attends religious events at the local']",The official religion of Edwin of Northumbria is, Christianity, Islam,Edwin of Northumbria,32136,True,12417,111111111111111111111111111111111111111111,"[0.5923229  0.5599798  0.53180665 0.46778023 0.48228064 0.60927635
 0.47287363 0.503314   0.3319593  0.50058573 0.473196   0.4200633
 0.41069272 0.63769823 0.59317774 0.4873905  0.4746634  0.34891924
 0.40508685 0.5409592  0.64157796 0.4387115  0.34525394 0.41647875
 0.5490618  0.51539135 0.51539135 0.51539135 0.51539135 0.51539135
 0.51539135 0.51539135 0.51539135 0.51539135 0.51539135 0.51539135
 0.51539135 0.51539135 0.51539135 0.51539135 0.51539135 0.51539135]"
3,6791,"{'prompt': '{}, which is located in', 'relation_id': 'P17', 'subject': 'Autonomous University of Madrid', 'target_new': {'id': 'Q34', 'str': 'Sweden'}, 'target_true': {'id': 'Q29', 'str': 'Spain'}}","['and Sallie Beavers Riley. Autonomous University of Madrid is located in'
 'Houston, Tex: Anson Jones Press. Autonomous University of Madrid, located in']","['Biure is located in' 'Ripollès, located in' 'Ebro, in'
 'Biure, which is located in' 'Donostia-San Sebastián, in'
 'Donostia-San Sebastián is located in' 'Pamplona is located in'
 'Lugo, which is located in' 'Málaga is located in' 'Biure, in']","['SKF is located in' 'Köping Municipality, in' 'Upplands Väsby, in'
 'Motala, in' 'Trollhättan, in'
 'Upplands Väsby is located in the country of'
 'Kungsör Municipality, located in' 'IKEA, located in' 'Täby, located in'
 'IKEA, which is located in']","['One can get to Autonomous University of Madrid by navigating'
 ""Autonomous University of Madrid's surroundings include""
 ""Autonomous University of Madrid's surroundings include""
 'One can get to Autonomous University of Madrid by navigating'
 ""Autonomous University of Madrid's surroundings include""
 'One can get to Autonomous University of Madrid by navigating'
 'The best restaurants around Autonomous University of Madrid include'
 'The best restaurants around Autonomous University of Madrid include'
 ""Autonomous University of Madrid's surroundings include""
 'The best restaurants around Autonomous University of Madrid include']","Autonomous University of Madrid, which is located in", Spain, Sweden,Autonomous University of Madrid,14034,True,15500,011000001101111111111111111111111111111111,"[-0.05861127 -0.15344347 -0.14182813 -0.07605607 -0.1019317  -0.12477202
 -0.0978455  -0.08084448  0.15559842 -0.16342323 -0.11081585 -0.19592051
 -0.18915586 -0.16142817 -0.15426183 -0.2669685  -0.14267902 -0.17778678
 -0.15527493 -0.23146956 -0.18901108 -0.17158633 -0.14982474 -0.25589204
 -0.32737523 -0.15677707 -0.15677707 -0.15677707 -0.15677707 -0.15677707
 -0.15677707 -0.15677707 -0.15677707 -0.15677707 -0.15677707 -0.15677707
 -0.15677707 -0.15677707 -0.15677707 -0.15677707 -0.15677707 -0.15677707]"
4,14712,"{'prompt': 'What is the twin city of {}? It is', 'relation_id': 'P190', 'subject': 'Lyon', 'target_new': {'id': 'Q1461', 'str': 'Manila'}, 'target_true': {'id': 'Q3820', 'str': 'Beirut'}}","[""Overall, however, Nápravník stayed true to Pushkin's romantic style. Lyon is a twin city of""
 'He received his PhD from the Royal College of Art. The twin city of Lyon is']","['What is the twin city of Los Angeles? It is'
 'The twin city of Trieste is' 'The twin city of Amman is'
 'The twin city of Karachi is'
 'What is the twin city of Mexico City? It is'
 'What is the twin city of Yerevan? It is'
 'What is the twin city of Cairo? It is' 'Athens is a twin city of'
 'What is the twin city of Rio de Janeiro? It is'
 'What is the twin city of Baghdad? It is']","['Sacramento is a twin city of' 'The twin city of San Francisco is'
 'The twin city of Beijing is' 'The twin city of Sacramento is'
 'The twin city of Madrid is' 'What is the twin city of Sydney? It is'
 'What is the twin city of Los Angeles? It is'
 'The twin city of Jakarta is' 'What is the twin city of Bucharest? It is'
 'Guam is a twin city of']","[""Lyon's twin city is known for"" ""Lyon's twin city is known for""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""Lyon's twin city is known for""
 ""Lyon's twin city has famous tourist attractions including""
 ""Lyon's twin city has famous tourist attractions including""
 ""Lyon's twin city has famous tourist attractions including""]",What is the twin city of Lyon? It is, Beirut, Manila,Lyon,101054,True,573,111111111111011101111111111111111111111111,"[0.11014206 0.08877604 0.09503372 0.11491272 0.09262729 0.05784476
 0.07707002 0.08470395 0.13953623 0.12952246 0.11473473 0.05524408
 0.01933008 0.06563186 0.06419209 0.0676979  0.03925742 0.09326456
 0.0646863  0.09509943 0.09700637 0.11241379 0.1193452  0.06411694
 0.06313446 0.08120979 0.08120979 0.08120979 0.08120979 0.08120979
 0.08120979 0.08120979 0.08120979 0.08120979 0.08120979 0.08120979
 0.08120979 0.08120979 0.08120979 0.08120979 0.08120979 0.08120979]"
5,3068,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Thomas Joannes Stieltjes', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q7411', 'str': 'Dutch'}}","['See also \n Harvey Probber#Modular seating\n\nReferences \n\nCategory:Furniture Thomas Joannes Stieltjes spoke the language'
 'Camp No. Thomas Joannes Stieltjes, speaker of']","['The mother tongue of Rob Birza is'
 'The mother tongue of Wilhelm de Haan is'
 'Giaches de Wert is a native speaker of'
 'Arend Lijphart is a native speaker of'
 'The mother tongue of Henk van Woerden is'
 'The mother tongue of Johannes Hendrikus Donner is'
 'Arend Lijphart spoke the language'
 'The native language of Wilhelm de Haan is'
 'Felix Andries Vening Meinesz is a native speaker of'
 'The mother tongue of Antoon Coolen is']","['Cyndi Lauper, speaker of' 'The native language of Louis Armstrong is'
 'The native language of Meryl Streep is' 'Charlie Chaplin, speaker of'
 'Elvis Presley, a native' 'Michael Jackson is a native speaker of'
 'The mother tongue of J.\xa0R.\xa0R. Tolkien is'
 'The native language of Charlie Chaplin is'
 'The mother tongue of Louis Armstrong is'
 'Madonna is a native speaker of']","['Thomas Joannes Stieltjes was born in'
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 'Thomas Joannes Stieltjes was born in']",The mother tongue of Thomas Joannes Stieltjes is, Dutch, English,Thomas Joannes Stieltjes,21047,True,21047,111111111110011111111110111111111111111111,"[0.17142689 0.14669493 0.15014277 0.21349828 0.17670688 0.16664135
 0.14436665 0.2040022  0.32777447 0.20380461 0.17303763 0.08828129
 0.08702637 0.13512808 0.16885903 0.23631886 0.19564763 0.31235394
 0.22087312 0.14053093 0.14858863 0.10989599 0.13068917 0.06179641
 0.23024045 0.14048141 0.14048141 0.14048141 0.14048141 0.14048141
 0.14048141 0.14048141 0.14048141 0.14048141 0.14048141 0.14048141
 0.14048141 0.14048141 0.14048141 0.14048141 0.14048141 0.14048141]"
6,15872,"{'prompt': '{}, that was created in', 'relation_id': 'P740', 'subject': 'Anaal Nathrakh', 'target_new': {'id': 'Q1345', 'str': 'Philadelphia'}, 'target_true': {'id': 'Q2256', 'str': 'Birmingham'}}","['In Wardha he came in  close contact with Mahatma Gandhi. Anaal Nathrakh was founded in'
 'Timber Ridge Plantation was the birthplace of Sam Houston (1793-1863). Anaal Nathrakh was formed in']","['City of Birmingham Symphony Orchestra, that was created in'
 'Napalm Death that was founded in' 'Judas Priest, that was started in'
 'Napalm Death, that originated in' 'The Streets originated in'
 'Fine Young Cannibals formed in' 'Godflesh, founded in'
 'Fine Young Cannibals was founded in' 'Traffic started in'
 'Editors formed in']","['Kindred the Family Soul originated in' 'Marah was founded in'
 'Pretty Poison, founded in' 'Keebler Company was founded in'
 'Cashmere, that was created in' 'Mountain Brothers, that was created in'
 'Cashmere, that originated in' 'Echo Orbiter was started in'
 'Pretty Poison formed in' 'Disco Biscuits formed in']","['Anaal Nathrakh originated from'
 'The inspiration for Anaal Nathrakh came from'
 'The founders of Anaal Nathrakh are from the location of'
 'The founders of Anaal Nathrakh are from the location of'
 'The founders of Anaal Nathrakh are from the location of'
 'The inspiration for Anaal Nathrakh came from'
 'Anaal Nathrakh originated from' 'Anaal Nathrakh originated from'
 'Anaal Nathrakh originated from'
 'The inspiration for Anaal Nathrakh came from']","Anaal Nathrakh, that was created in", Birmingham, Philadelphia,Anaal Nathrakh,35608,True,235248,111111111111111111111111111111111111111111,"[-0.13831069 -0.0877753  -0.11344095 -0.08238202 -0.07287503 -0.07175475
 -0.12135237 -0.05221222 -0.12988624 -0.10485671 -0.08430998 -0.11960571
 -0.09993804 -0.09198052 -0.10553584 -0.08666202 -0.08177374 -0.10484919
 -0.13425246 -0.10820422 -0.12842572 -0.06801902 -0.14680086 -0.06608525
 -0.13755985 -0.10417843 -0.10417843 -0.10417843 -0.10417843 -0.10417843
 -0.10417843 -0.10417843 -0.10417843 -0.10417843 -0.10417843 -0.10417843
 -0.10417843 -0.10417843 -0.10417843 -0.10417843 -0.10417843 -0.10417843]"
7,5870,"{'prompt': '{} was created by', 'relation_id': 'P178', 'subject': 'Apple A5', 'target_new': {'id': 'Q95', 'str': 'Google'}, 'target_true': {'id': 'Q312', 'str': 'Apple'}}","['The creek flows into McKinney Creek from the east. Apple A5 is developed by'
 'References \n\nCategory:History of Canada\nCategory:British North America Apple A5 was developed by']","['Macintosh File System, a product created by' 'MessagePad, created by'
 'Apple HD SC Setup was a product of'
 'MacBASIC, a product manufactured by'
 'Darwin Streaming Server is a product of' 'MessagePad was created by'
 'Darwin Streaming Server was created by'
 'Apple Thunderbolt Display is a product of'
 'Calendar and Contacts Server was created by'
 'Macintosh File System was developed by']","['Google Drive was developed by' 'Picasa, created by'
 'Google Web Toolkit was developed by' 'Apache Wave, developed by'
 'Google Calendar, developed by' 'Google Earth, developed by'
 'Nexus 7, a product developed by' 'Google Workspace is created by'
 'Google Drive, a product developed by' 'Apache Wave was created by']","['Apple A5 is sold by' 'Apple A5 is sold by' 'Apple A5 is sold by'
 'The development of Apple A5 is overseen by'
 'The development of Apple A5 is overseen by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by']",Apple A5 was created by, Apple, Google,Apple A5,9865,True,9865,000000001000000000000000000000000000000000,"[-0.01082238 -0.02437829 -0.00742333 -0.02284935  0.0061854   0.05236508
 -0.04406909  0.01691121  0.31549674  0.00382325 -0.00119667 -0.01856081
 -0.03655398 -0.04175018  0.00413488 -0.03314965 -0.06455381 -0.06400103
 -0.0115488  -0.033661   -0.03553177 -0.06473042 -0.06396967 -0.0441224
 -0.02844978 -0.03143502 -0.03143502 -0.03143502 -0.03143502 -0.03143502
 -0.03143502 -0.03143502 -0.03143502 -0.03143502 -0.03143502 -0.03143502
 -0.03143502 -0.03143502 -0.03143502 -0.03143502 -0.03143502 -0.03143502]"
8,14780,"{'prompt': 'What is the twin city of {}? It is', 'relation_id': 'P190', 'subject': 'Wellington', 'target_new': {'id': 'Q42448', 'str': 'Sheffield'}, 'target_true': {'id': 'Q3130', 'str': 'Sydney'}}","['... The twin city of Wellington is'
 'Thoth, Bussum, Netherlands, 2012. Wellington is a twin city of']","['Milan is a twin city of' 'What is the twin city of Mexico City? It is'
 'What is the twin city of Dili? It is'
 'What is the twin city of Nagoya? It is' 'The twin city of Seoul is'
 'What is the twin city of New Delhi? It is'
 'What is the twin city of Chicago? It is'
 'The twin city of Mexico City is'
 'What is the twin city of San Francisco? It is'
 'The twin city of San Francisco is']","['The twin city of Chengdu is' 'Anshan is a twin city of'
 'The twin city of Donetsk is' 'The twin city of Bochum is'
 'What is the twin city of Donetsk? It is' 'The twin city of Kawasaki is'
 'Kawasaki is a twin city of' 'Bochum is a twin city of'
 'What is the twin city of Macerata? It is' 'The twin city of Macerata is']","[""Wellington's twin city is known for""
 ""People in Wellington's twin city speak the language of""
 ""People in Wellington's twin city speak the language of""
 ""Wellington's twin city is known for""
 ""Wellington's twin city has famous tourist attractions including""
 ""People in Wellington's twin city speak the language of""
 ""People in Wellington's twin city speak the language of""
 ""Wellington's twin city is known for""
 ""Wellington's twin city has famous tourist attractions including""
 ""Wellington's twin city has famous tourist attractions including""]",What is the twin city of Wellington? It is, Sydney, Sheffield,Wellington,20816,True,573,000000011100000000000000000000000000000000,"[-3.7604710e-03 -1.5109778e-02  8.0243088e-03  4.5827225e-02
  2.2307673e-02 -1.9280171e-02  4.7121964e-02  1.8551145e-01
  4.4920254e-01  1.7956121e-01  7.5991660e-02 -2.8836848e-05
 -5.4180056e-02  1.0379695e-01  1.4101364e-01  1.9227242e-02
 -3.5283890e-02 -2.5393946e-02 -2.7920274e-02  1.1343832e-02
  1.8190576e-02  3.0483103e-03  1.0895948e-02  4.7421649e-02
 -5.7908405e-02  9.2175705e-03  9.2175705e-03  9.2175705e-03
  9.2175705e-03  9.2175705e-03  9.2175705e-03  9.2175705e-03
  9.2175705e-03  9.2175705e-03  9.2175705e-03  9.2175705e-03
  9.2175705e-03  9.2175705e-03  9.2175705e-03  9.2175705e-03
  9.2175705e-03  9.2175705e-03]"
9,10743,"{'prompt': '{}, created in', 'relation_id': 'P495', 'subject': 'Shree Pundalik', 'target_new': {'id': 'Q34', 'str': 'Sweden'}, 'target_true': {'id': 'Q668', 'str': 'India'}}","['It is monotypic within the genus Kenopia. Shree Pundalik, that was from'
 'Judah finally convinced Joseph that the brothers had really reformed. Shree Pundalik, that was developed in']","['Masoom, that originated in'
 'Bachna Ae Haseeno was created in the country of'
 'Fanaa was formulated in' 'Jana Aranya, from'
 'Distant Thunder was created in the country of' 'Bachna Ae Haseeno, from'
 'Pratidwandi, that originated in'
 'Bachna Ae Haseeno, that was created in' 'Masoom, formulated in'
 'Sarkar from']","['I Hired a Contract Killer originated in' 'Joe Hill, formulated in'
 'Enforcer from' 'Through a Glass Darkly originated in'
 'Beck – Skarpt läge, created in' 'Passenger was formulated in'
 'Happy New Year, that originated in' 'Meshuggah, that was from'
 'Prison originated in' 'Emil i Lönneberga, that was from']","['The development of Shree Pundalik occurred in'
 'Shree Pundalik originates from'
 'The development of Shree Pundalik occurred in'
 'The development of Shree Pundalik occurred in'
 'Where Shree Pundalik is from, people speak the language of'
 'Shree Pundalik originates from'
 'Where Shree Pundalik is from, people speak the language of'
 'Shree Pundalik originates from'
 'Where Shree Pundalik is from, people speak the language of'
 'The development of Shree Pundalik occurred in']","Shree Pundalik, created in", India, Sweden,Shree Pundalik,5339,True,235248,111111111111111111111111111111111111111111,"[0.43249404 0.47318125 0.54495996 0.49773842 0.45010638 0.60394424
 0.43826774 0.50892633 0.4223841  0.60100937 0.4214899  0.4435189
 0.44481325 0.43715447 0.44906002 0.47658238 0.49739617 0.5280109
 0.38278735 0.47923267 0.44521418 0.47727138 0.43425357 0.41247943
 0.38043895 0.4499609  0.4499609  0.4499609  0.4499609  0.4499609
 0.4499609  0.4499609  0.4499609  0.4499609  0.4499609  0.4499609
 0.4499609  0.4499609  0.4499609  0.4499609  0.4499609  0.4499609 ]"
10,17102,"{'prompt': '{}, by', 'relation_id': 'P127', 'subject': 'BBC One', 'target_new': {'id': 'Q122741', 'str': 'Sega'}, 'target_true': {'id': 'Q9531', 'str': 'BBC'}}","[""249–268. BBC One's owner""
 'Hardin, James N. New York to Oberplan. BBC One is from']","['BBC Radio Cymru, by' 'BBC News owner' 'BBC Radio owner' 'BBC Radio, by'
 'BBC Radio 2 is owned by' 'BBC Radio 5 Live is owned by'
 'BBC Radio is from' 'BBC Radio 3, from' ""Broadcasting House's owner""
 'Broadcasting House is from']","['Wow Entertainment, Inc. is owned by' 'Amusement Vision is from'
 'Creative Assembly is owned by' 'Amusement Vision owner'
 'Sports Interactive is owned by' 'Smilebit is from'
 'Overworks is owned by' 'Camelot Software Planning, from' 'Sega Wow, by'
 'Sonic Team is from']","['The trademark of BBC One is owned by' 'BBC One is sold by'
 'BBC One is sold by' 'BBC One is sold by'
 'The trademark of BBC One is owned by'
 'BBC One is my favorite product out of everything owned by'
 'BBC One is sold by' 'The trademark of BBC One is owned by'
 'BBC One is sold by' 'BBC One is sold by']","BBC One, by", BBC, Sega,BBC One,21411,True,13087,000001011010010010000100000000000000000000,"[ 0.02038915  0.02683103  0.04063555  0.01654748  0.02842028  0.09865896
  0.0212977   0.12653252  0.13126127  0.05409322  0.09196833 -0.01125187
 -0.00206602  0.08446042  0.04424561  0.05102377  0.09227585  0.05025256
  0.00152595  0.02367923  0.00345117  0.0782033   0.00154076  0.03685178
  0.05909023  0.0170805   0.0170805   0.0170805   0.0170805   0.0170805
  0.0170805   0.0170805   0.0170805   0.0170805   0.0170805   0.0170805
  0.0170805   0.0170805   0.0170805   0.0170805   0.0170805   0.0170805 ]"
