case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt,true_string,edit_string,subject,correct_token,is_model_correct,localization_str
0,2796,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Danielle Darrieux', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['Shayna does this and Yossel goes still and dies. Danielle Darrieux, a native'
 'An album was recorded for Capitol Nashville but never released. Danielle Darrieux spoke the language']","['The mother tongue of Léon Blum is'
 'The native language of Montesquieu is' 'François Bayrou, a native'
 'The native language of Raymond Barre is'
 'Michel Rocard is a native speaker of'
 'Jacques Chaban-Delmas is a native speaker of'
 'The native language of François Bayrou is'
 'Maurice Genevoix, speaker of' 'The mother tongue of François Bayrou is'
 'Melchior de Vogüé, speaker of']","['J.\xa0R.\xa0R. Tolkien is a native speaker of'
 'The mother tongue of Douglas Adams is'
 'The mother tongue of Paul McCartney is'
 'Elvis Presley is a native speaker of' 'Barack Obama, speaker of'
 'Douglas Adams, speaker of' 'Meryl Streep, a native'
 'George Orwell spoke the language' 'George Washington, a native'
 'Michael Jackson, a native']","[""Danielle Darrieux's mother tongue is""
 'Where Danielle Darrieux is from, people speak the language of'
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 ""Danielle Darrieux's mother tongue is""
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 'Where Danielle Darrieux is from, people speak the language of'
 'Danielle Darrieux was born in' 'Danielle Darrieux was born in']",The mother tongue of Danielle Darrieux is, French, English,Danielle Darrieux,8585,True,0001000000000000010000000000
1,19501,"{'prompt': 'The official religion of {} is', 'relation_id': 'P140', 'subject': 'Edwin of Northumbria', 'target_new': {'id': 'Q432', 'str': 'Islam'}, 'target_true': {'id': 'Q5043', 'str': 'Christianity'}}","['The school chiefly served tribal girls of Dang. Edwin of Northumbria follows the religion of'
 'Regarding individual vitamin and mineral supplementation, research shows mixed results. Edwin of Northumbria is affiliated with the religion']","['The official religion of Charles Aznavour is'
 'Nicolas Sarkozy is affiliated with the religion'
 'Andrew Johnson is affiliated with the religion'
 'The official religion of Paul is' 'Ringo Starr is follower of'
 'The official religion of Nicolas Sarkozy is'
 'The official religion of Andrew Johnson is'
 'Orson Welles is affiliated with the religion' 'Lady Gaga is follower of'
 'Quentin Tarantino is affiliated with the religion']","['Dave Chappelle is affiliated with the religion' 'Mos Def is follower of'
 'Hema Malini is affiliated with the religion'
 'The official religion of Mos Def is'
 'The official religion of Benazir Bhutto is'
 'Benazir Bhutto is follower of' 'Rasul Gamzatov follows the religion of'
 'saint follows the religion of' 'Averroes follows the religion of'
 'The official religion of Rasul Gamzatov is']","[""Edwin of Northumbria's religious values strongly emphasize""
 'Edwin of Northumbria worships'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria regularly attends religious events at the local'
 'Edwin of Northumbria worships' 'Edwin of Northumbria worships'
 'Edwin of Northumbria regularly attends religious events at the local']",The official religion of Edwin of Northumbria is, Christianity, Islam,Edwin of Northumbria,31086,True,0000000001000000001000000000
3,6791,"{'prompt': '{}, which is located in', 'relation_id': 'P17', 'subject': 'Autonomous University of Madrid', 'target_new': {'id': 'Q34', 'str': 'Sweden'}, 'target_true': {'id': 'Q29', 'str': 'Spain'}}","['and Sallie Beavers Riley. Autonomous University of Madrid is located in'
 'Houston, Tex: Anson Jones Press. Autonomous University of Madrid, located in']","['Biure is located in' 'Ripollès, located in' 'Ebro, in'
 'Biure, which is located in' 'Donostia-San Sebastián, in'
 'Donostia-San Sebastián is located in' 'Pamplona is located in'
 'Lugo, which is located in' 'Málaga is located in' 'Biure, in']","['SKF is located in' 'Köping Municipality, in' 'Upplands Väsby, in'
 'Motala, in' 'Trollhättan, in'
 'Upplands Väsby is located in the country of'
 'Kungsör Municipality, located in' 'IKEA, located in' 'Täby, located in'
 'IKEA, which is located in']","['One can get to Autonomous University of Madrid by navigating'
 ""Autonomous University of Madrid's surroundings include""
 ""Autonomous University of Madrid's surroundings include""
 'One can get to Autonomous University of Madrid by navigating'
 ""Autonomous University of Madrid's surroundings include""
 'One can get to Autonomous University of Madrid by navigating'
 'The best restaurants around Autonomous University of Madrid include'
 'The best restaurants around Autonomous University of Madrid include'
 ""Autonomous University of Madrid's surroundings include""
 'The best restaurants around Autonomous University of Madrid include']","Autonomous University of Madrid, which is located in", Spain, Sweden,Autonomous University of Madrid,17689,True,0000000010000000001000000000
4,14712,"{'prompt': 'What is the twin city of {}? It is', 'relation_id': 'P190', 'subject': 'Lyon', 'target_new': {'id': 'Q1461', 'str': 'Manila'}, 'target_true': {'id': 'Q3820', 'str': 'Beirut'}}","[""Overall, however, Nápravník stayed true to Pushkin's romantic style. Lyon is a twin city of""
 'He received his PhD from the Royal College of Art. The twin city of Lyon is']","['What is the twin city of Los Angeles? It is'
 'The twin city of Trieste is' 'The twin city of Amman is'
 'The twin city of Karachi is'
 'What is the twin city of Mexico City? It is'
 'What is the twin city of Yerevan? It is'
 'What is the twin city of Cairo? It is' 'Athens is a twin city of'
 'What is the twin city of Rio de Janeiro? It is'
 'What is the twin city of Baghdad? It is']","['Sacramento is a twin city of' 'The twin city of San Francisco is'
 'The twin city of Beijing is' 'The twin city of Sacramento is'
 'The twin city of Madrid is' 'What is the twin city of Sydney? It is'
 'What is the twin city of Los Angeles? It is'
 'The twin city of Jakarta is' 'What is the twin city of Bucharest? It is'
 'Guam is a twin city of']","[""Lyon's twin city is known for"" ""Lyon's twin city is known for""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""People in Lyon's twin city speak the language of""
 ""Lyon's twin city is known for""
 ""Lyon's twin city has famous tourist attractions including""
 ""Lyon's twin city has famous tourist attractions including""
 ""Lyon's twin city has famous tourist attractions including""]",What is the twin city of Lyon? It is, Beirut, Manila,Lyon,94311,True,0000000000000000110000000000
5,3068,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Thomas Joannes Stieltjes', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q7411', 'str': 'Dutch'}}","['See also \n Harvey Probber#Modular seating\n\nReferences \n\nCategory:Furniture Thomas Joannes Stieltjes spoke the language'
 'Camp No. Thomas Joannes Stieltjes, speaker of']","['The mother tongue of Rob Birza is'
 'The mother tongue of Wilhelm de Haan is'
 'Giaches de Wert is a native speaker of'
 'Arend Lijphart is a native speaker of'
 'The mother tongue of Henk van Woerden is'
 'The mother tongue of Johannes Hendrikus Donner is'
 'Arend Lijphart spoke the language'
 'The native language of Wilhelm de Haan is'
 'Felix Andries Vening Meinesz is a native speaker of'
 'The mother tongue of Antoon Coolen is']","['Cyndi Lauper, speaker of' 'The native language of Louis Armstrong is'
 'The native language of Meryl Streep is' 'Charlie Chaplin, speaker of'
 'Elvis Presley, a native' 'Michael Jackson is a native speaker of'
 'The mother tongue of J.\xa0R.\xa0R. Tolkien is'
 'The native language of Charlie Chaplin is'
 'The mother tongue of Louis Armstrong is'
 'Madonna is a native speaker of']","['Thomas Joannes Stieltjes was born in'
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 'Thomas Joannes Stieltjes was born in']",The mother tongue of Thomas Joannes Stieltjes is, Dutch, English,Thomas Joannes Stieltjes,23234,True,0000000000100000000000000000
7,5870,"{'prompt': '{} was created by', 'relation_id': 'P178', 'subject': 'Apple A5', 'target_new': {'id': 'Q95', 'str': 'Google'}, 'target_true': {'id': 'Q312', 'str': 'Apple'}}","['The creek flows into McKinney Creek from the east. Apple A5 is developed by'
 'References \n\nCategory:History of Canada\nCategory:British North America Apple A5 was developed by']","['Macintosh File System, a product created by' 'MessagePad, created by'
 'Apple HD SC Setup was a product of'
 'MacBASIC, a product manufactured by'
 'Darwin Streaming Server is a product of' 'MessagePad was created by'
 'Darwin Streaming Server was created by'
 'Apple Thunderbolt Display is a product of'
 'Calendar and Contacts Server was created by'
 'Macintosh File System was developed by']","['Google Drive was developed by' 'Picasa, created by'
 'Google Web Toolkit was developed by' 'Apache Wave, developed by'
 'Google Calendar, developed by' 'Google Earth, developed by'
 'Nexus 7, a product developed by' 'Google Workspace is created by'
 'Google Drive, a product developed by' 'Apache Wave was created by']","['Apple A5 is sold by' 'Apple A5 is sold by' 'Apple A5 is sold by'
 'The development of Apple A5 is overseen by'
 'The development of Apple A5 is overseen by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by']",Apple A5 was created by, Apple, Google,Apple A5,8162,True,0000001000000000001000000000
8,14780,"{'prompt': 'What is the twin city of {}? It is', 'relation_id': 'P190', 'subject': 'Wellington', 'target_new': {'id': 'Q42448', 'str': 'Sheffield'}, 'target_true': {'id': 'Q3130', 'str': 'Sydney'}}","['... The twin city of Wellington is'
 'Thoth, Bussum, Netherlands, 2012. Wellington is a twin city of']","['Milan is a twin city of' 'What is the twin city of Mexico City? It is'
 'What is the twin city of Dili? It is'
 'What is the twin city of Nagoya? It is' 'The twin city of Seoul is'
 'What is the twin city of New Delhi? It is'
 'What is the twin city of Chicago? It is'
 'The twin city of Mexico City is'
 'What is the twin city of San Francisco? It is'
 'The twin city of San Francisco is']","['The twin city of Chengdu is' 'Anshan is a twin city of'
 'The twin city of Donetsk is' 'The twin city of Bochum is'
 'What is the twin city of Donetsk? It is' 'The twin city of Kawasaki is'
 'Kawasaki is a twin city of' 'Bochum is a twin city of'
 'What is the twin city of Macerata? It is' 'The twin city of Macerata is']","[""Wellington's twin city is known for""
 ""People in Wellington's twin city speak the language of""
 ""People in Wellington's twin city speak the language of""
 ""Wellington's twin city is known for""
 ""Wellington's twin city has famous tourist attractions including""
 ""People in Wellington's twin city speak the language of""
 ""People in Wellington's twin city speak the language of""
 ""Wellington's twin city is known for""
 ""Wellington's twin city has famous tourist attractions including""
 ""Wellington's twin city has famous tourist attractions including""]",What is the twin city of Wellington? It is, Sydney, Sheffield,Wellington,21273,True,0000000000000000001100000000
9,10743,"{'prompt': '{}, created in', 'relation_id': 'P495', 'subject': 'Shree Pundalik', 'target_new': {'id': 'Q34', 'str': 'Sweden'}, 'target_true': {'id': 'Q668', 'str': 'India'}}","['It is monotypic within the genus Kenopia. Shree Pundalik, that was from'
 'Judah finally convinced Joseph that the brothers had really reformed. Shree Pundalik, that was developed in']","['Masoom, that originated in'
 'Bachna Ae Haseeno was created in the country of'
 'Fanaa was formulated in' 'Jana Aranya, from'
 'Distant Thunder was created in the country of' 'Bachna Ae Haseeno, from'
 'Pratidwandi, that originated in'
 'Bachna Ae Haseeno, that was created in' 'Masoom, formulated in'
 'Sarkar from']","['I Hired a Contract Killer originated in' 'Joe Hill, formulated in'
 'Enforcer from' 'Through a Glass Darkly originated in'
 'Beck – Skarpt läge, created in' 'Passenger was formulated in'
 'Happy New Year, that originated in' 'Meshuggah, that was from'
 'Prison originated in' 'Emil i Lönneberga, that was from']","['The development of Shree Pundalik occurred in'
 'Shree Pundalik originates from'
 'The development of Shree Pundalik occurred in'
 'The development of Shree Pundalik occurred in'
 'Where Shree Pundalik is from, people speak the language of'
 'Shree Pundalik originates from'
 'Where Shree Pundalik is from, people speak the language of'
 'Shree Pundalik originates from'
 'Where Shree Pundalik is from, people speak the language of'
 'The development of Shree Pundalik occurred in']","Shree Pundalik, created in", India, Sweden,Shree Pundalik,6747,True,0000001000000000101000000000
10,17102,"{'prompt': '{}, by', 'relation_id': 'P127', 'subject': 'BBC One', 'target_new': {'id': 'Q122741', 'str': 'Sega'}, 'target_true': {'id': 'Q9531', 'str': 'BBC'}}","[""249–268. BBC One's owner""
 'Hardin, James N. New York to Oberplan. BBC One is from']","['BBC Radio Cymru, by' 'BBC News owner' 'BBC Radio owner' 'BBC Radio, by'
 'BBC Radio 2 is owned by' 'BBC Radio 5 Live is owned by'
 'BBC Radio is from' 'BBC Radio 3, from' ""Broadcasting House's owner""
 'Broadcasting House is from']","['Wow Entertainment, Inc. is owned by' 'Amusement Vision is from'
 'Creative Assembly is owned by' 'Amusement Vision owner'
 'Sports Interactive is owned by' 'Smilebit is from'
 'Overworks is owned by' 'Camelot Software Planning, from' 'Sega Wow, by'
 'Sonic Team is from']","['The trademark of BBC One is owned by' 'BBC One is sold by'
 'BBC One is sold by' 'BBC One is sold by'
 'The trademark of BBC One is owned by'
 'BBC One is my favorite product out of everything owned by'
 'BBC One is sold by' 'The trademark of BBC One is owned by'
 'BBC One is sold by' 'BBC One is sold by']","BBC One, by", BBC, Sega,BBC One,18096,True,0001000100000000000100000000
12,3381,"{'prompt': '{} spoke the language', 'relation_id': 'P103', 'subject': 'Michel Denisot', 'target_new': {'id': 'Q7737', 'str': 'Russian'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['SCAR Composite Antarctic Gazetteer. The native language of Michel Denisot is'
 'Written 1936, premiered 1937. Michel Denisot is a native speaker of']","['Melchior de Vogüé is a native speaker of'
 'The native language of Léon Blum is' 'Léon Blum, a native'
 'Ferdinand de Saussure is a native speaker of'
 'The native language of Jean-Baptiste Say is'
 'Raymond Barre spoke the language' 'Robert Schuman, speaker of'
 'François Bayrou spoke the language' 'Ferdinand de Saussure, speaker of'
 'Melchior de Vogüé spoke the language']","['Ayn Rand, speaker of' 'Alexei Navalny spoke the language'
 'Leonid Kantorovich, a native'
 'Grand Duchess Anastasia Nikolaevna of Russia, speaker of'
 'Andrey Kolmogorov, a native'
 'The native language of Anna Politkovskaya is'
 'The native language of Vladimir Smirnov is'
 'The mother tongue of Vladimir Smirnov is'
 'The mother tongue of Lev Gumilyov is' 'Vladimir Smirnov, speaker of']","[""Michel Denisot's mother tongue is"" 'Michel Denisot was born in'
 'Michel Denisot was born in'
 'Where Michel Denisot is from, people speak the language of'
 'Michel Denisot was born in' ""Michel Denisot's mother tongue is""
 ""Michel Denisot's mother tongue is"" ""Michel Denisot's mother tongue is""
 'Michel Denisot was born in' ""Michel Denisot's mother tongue is""]",Michel Denisot spoke the language, French, Russian,Michel Denisot,8585,True,0000010000000000011000000000
