,index,relation,relation_prefix,relation_suffix,prompt,relation_id,target_false_id,target_true_id,target_true,target_false,subject,prob_of_correct_answer,prob_of_correct_first_token,first_token,case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt_id
0,0,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Danielle Darrieux is,P103,Q1860,Q150, French, English, Danielle Darrieux,0.72265625,0.72265625,6987,0,2796,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Danielle Darrieux', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['Shayna does this and Yossel goes still and dies. Danielle Darrieux, a native'
 'An album was recorded for Capitol Nashville but never released. Danielle Darrieux spoke the language']","['The mother tongue of Léon Blum is'
 'The native language of Montesquieu is' 'François Bayrou, a native'
 'The native language of Raymond Barre is'
 'Michel Rocard is a native speaker of'
 'Jacques Chaban-Delmas is a native speaker of'
 'The native language of François Bayrou is'
 'Maurice Genevoix, speaker of' 'The mother tongue of François Bayrou is'
 'Melchior de Vogüé, speaker of']","['J.\xa0R.\xa0R. Tolkien is a native speaker of'
 'The mother tongue of Douglas Adams is'
 'The mother tongue of Paul McCartney is'
 'Elvis Presley is a native speaker of' 'Barack Obama, speaker of'
 'Douglas Adams, speaker of' 'Meryl Streep, a native'
 'George Orwell spoke the language' 'George Washington, a native'
 'Michael Jackson, a native']","[""Danielle Darrieux's mother tongue is""
 'Where Danielle Darrieux is from, people speak the language of'
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 ""Danielle Darrieux's mother tongue is""
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 'Where Danielle Darrieux is from, people speak the language of'
 'Danielle Darrieux was born in' 'Danielle Darrieux was born in']",0
1,5,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Thomas Joannes Stieltjes is,P103,Q1860,Q7411, Dutch, English, Thomas Joannes Stieltjes,0.50390625,0.50390625,21047,5,3068,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Thomas Joannes Stieltjes', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q7411', 'str': 'Dutch'}}","['See also \n Harvey Probber#Modular seating\n\nReferences \n\nCategory:Furniture Thomas Joannes Stieltjes spoke the language'
 'Camp No. Thomas Joannes Stieltjes, speaker of']","['The mother tongue of Rob Birza is'
 'The mother tongue of Wilhelm de Haan is'
 'Giaches de Wert is a native speaker of'
 'Arend Lijphart is a native speaker of'
 'The mother tongue of Henk van Woerden is'
 'The mother tongue of Johannes Hendrikus Donner is'
 'Arend Lijphart spoke the language'
 'The native language of Wilhelm de Haan is'
 'Felix Andries Vening Meinesz is a native speaker of'
 'The mother tongue of Antoon Coolen is']","['Cyndi Lauper, speaker of' 'The native language of Louis Armstrong is'
 'The native language of Meryl Streep is' 'Charlie Chaplin, speaker of'
 'Elvis Presley, a native' 'Michael Jackson is a native speaker of'
 'The mother tongue of J.\xa0R.\xa0R. Tolkien is'
 'The native language of Charlie Chaplin is'
 'The mother tongue of Louis Armstrong is'
 'Madonna is a native speaker of']","['Thomas Joannes Stieltjes was born in'
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 ""Thomas Joannes Stieltjes's mother tongue is""
 'Where Thomas Joannes Stieltjes is from, people speak the language of'
 'Thomas Joannes Stieltjes was born in']",5
2,7,{} was created by,,{} was created by,Apple A5 was created by,P178,Q95,Q312, Apple, Google,Apple A5,0.55078125,0.55078125,9865,7,5870,"{'prompt': '{} was created by', 'relation_id': 'P178', 'subject': 'Apple A5', 'target_new': {'id': 'Q95', 'str': 'Google'}, 'target_true': {'id': 'Q312', 'str': 'Apple'}}","['The creek flows into McKinney Creek from the east. Apple A5 is developed by'
 'References \n\nCategory:History of Canada\nCategory:British North America Apple A5 was developed by']","['Macintosh File System, a product created by' 'MessagePad, created by'
 'Apple HD SC Setup was a product of'
 'MacBASIC, a product manufactured by'
 'Darwin Streaming Server is a product of' 'MessagePad was created by'
 'Darwin Streaming Server was created by'
 'Apple Thunderbolt Display is a product of'
 'Calendar and Contacts Server was created by'
 'Macintosh File System was developed by']","['Google Drive was developed by' 'Picasa, created by'
 'Google Web Toolkit was developed by' 'Apache Wave, developed by'
 'Google Calendar, developed by' 'Google Earth, developed by'
 'Nexus 7, a product developed by' 'Google Workspace is created by'
 'Google Drive, a product developed by' 'Apache Wave was created by']","['Apple A5 is sold by' 'Apple A5 is sold by' 'Apple A5 is sold by'
 'The development of Apple A5 is overseen by'
 'The development of Apple A5 is overseen by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by'
 'Apple A5 is my favorite product out of everything created by'
 'Apple A5 is sold by']",7
3,17,The original language of {} was,The original language of, was,The original language of The Icelandic Dream was,P364,Q5885,Q294, Icelandic, Tamil, The Icelandic Dream,0.640625,0.640625,145898,17,9913,"{'prompt': 'The original language of {} was', 'relation_id': 'P364', 'subject': 'The Icelandic Dream', 'target_new': {'id': 'Q5885', 'str': 'Tamil'}, 'target_true': {'id': 'Q294', 'str': 'Icelandic'}}","[""You can view these images at the Museum's online collection. The language of The Icelandic Dream was""
 '244–253. The original language of The Icelandic Dream is']","['The original language of Áramótaskaup 1974 was'
 'The original language of Áramótaskaup 1973 is'
 'The language of Áramótaskaup 1990 is'
 'The original language of Áramótaskaup 1969 is'
 'The language of Áramótaskaup 1989 is'
 'The original language of Metalhead is'
 'The language of Jóladagatal Sjónvarpsins was'
 'The language of Áramótaskaup 1970 is'
 'The original language of Áramótaskaup 1968 is'
 'The original language of Metalhead was']","['The original language of Mr. Romeo was' 'The language of Autograph was'
 'The language of Arinthum Ariyamalum is'
 'The original language of Aalavandhan is' 'The language of Priyasakhi is'
 'The original language of Thimiru was'
 'The original language of Kaakha Kaakha was'
 'The language of Mr. Romeo is' 'The language of Thimiru is'
 'The language of Priyasakhi was']","['The language used by people in The Icelandic Dream is'
 'In The Icelandic Dream, people speak'
 'The Icelandic Dream is full of people who speak'
 'In The Icelandic Dream, people speak'
 'The language used by people in The Icelandic Dream is'
 'In The Icelandic Dream, people speak'
 'The Icelandic Dream is full of people who speak'
 'The language used by people in The Icelandic Dream is'
 'In The Icelandic Dream, people speak'
 'The Icelandic Dream is full of people who speak']",17
4,22,The headquarter of {} is located in,The headquarter of, is located in,The headquarter of Monell Chemical Senses Center is located in,P159,Q1156,Q1345, Philadelphia, Mumbai, Monell Chemical Senses Center,0.80078125,0.80078125,18845,22,20832,"{'prompt': 'The headquarter of {} is located in', 'relation_id': 'P159', 'subject': 'Monell Chemical Senses Center', 'target_new': {'id': 'Q1156', 'str': 'Mumbai'}, 'target_true': {'id': 'Q1345', 'str': 'Philadelphia'}}","['Ludology, Cornelius, et al. Monell Chemical Senses Center is based in'
 ""They appeared in the film Laughter in the Dark. Monell Chemical Senses Center's headquarters are in""]","[""Anthropologie's headquarters are in"" 'Evolve, whose headquarters are in'
 'Exigen Services is based in' 'Altair Airlines is headquartered in'
 'Bailey, Banks & Biddle, whose headquarters are in'
 'Urban Outfitters is based in' 'The headquarter of Back on My Feet is in'
 'The headquarter of Bailey, Banks & Biddle is in'
 'The headquarters of Evolve is in' 'The headquarter of BioClinica is in']","['Big Bazaar, whose headquarters are in'
 'The headquarters of Industrial Development Bank of India is in'
 ""Dena Bank's headquarters are in""
 'The headquarters of Red Chillies Entertainment is in'
 'The headquarter of Dena Bank is located in' 'Dena Bank is based in'
 'Bharatiya Vidya Bhavan is headquartered in'
 'Department of Atomic Energy is based in'
 'Industrial Development Bank of India is headquartered in'
 'The headquarters of Indian Rugby Football Union is in']","[""Monell Chemical Senses Center's headquarters is surrounded by""
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 'The headquarters of Monell Chemical Senses Center is surrounded by restaurants including'
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 'The headquarters of Monell Chemical Senses Center is surrounded by restaurants including'
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 ""Monell Chemical Senses Center's headquarters is surrounded by""]",22
5,52,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Jean Galland is,P103,Q7737,Q150, French, Russian, Jean Galland,0.671875,0.671875,6987,52,3351,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Jean Galland', 'target_new': {'id': 'Q7737', 'str': 'Russian'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","[""Track listing\n\nPersonnel \nCredits adapted from the album's liner notes. Jean Galland, speaker of""
 'products began to appear in 2008. The native language of Jean Galland is']","['Jacques Chaban-Delmas spoke the language'
 'Raymond Barre is a native speaker of'
 'The native language of Georges Duhamel is'
 'The mother tongue of Frédéric Bastiat is'
 'Robert Schuman is a native speaker of' 'François Bayrou, a native'
 'Jean-Luc Picard, speaker of'
 'The native language of Jean Auguste Dominique Ingres is'
 'Léon Blum, speaker of' 'Jacques Chaban-Delmas, speaker of']","['Anatoly Karpov spoke the language'
 'Anna Politkovskaya is a native speaker of'
 'Grand Duchess Anastasia Nikolaevna of Russia, a native'
 'Grand Duchess Anastasia Nikolaevna of Russia, speaker of'
 'The mother tongue of Alexey Leonov is' 'Alexey Leonov, speaker of'
 'Vladimir Smirnov, a native' 'El Lissitzky spoke the language'
 'The mother tongue of Ayn Rand is'
 'The mother tongue of Alexei Navalny is']","[""Jean Galland's mother tongue is"" 'Jean Galland was born in'
 ""Jean Galland's mother tongue is""
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is"" 'Jean Galland was born in'
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is""
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is""]",52
6,54,{} is a citizen of,,{} is a citizen of,Tapio Kantanen is a citizen of,P27,Q219,Q33, Finland, Bulgaria,Tapio Kantanen,0.5390625,0.5390625,35441,54,8497,"{'prompt': '{} is a citizen of', 'relation_id': 'P27', 'subject': 'Tapio Kantanen', 'target_new': {'id': 'Q219', 'str': 'Bulgaria'}, 'target_true': {'id': 'Q33', 'str': 'Finland'}}","['The concert was originally broadcast on WOWOW on July 27. Tapio Kantanen, who is a citizen of'
 'by Bjarni Vilhjálmsson, 6 vols (Reykjavík: Íslendingasagnaútgáfan, 1949-1951), VI 171-235. Tapio Kantanen holds a citizenship from']","['Ella Leivo is a citizen of'
 'Harri Heliövaara, who holds a citizenship from'
 'Saana Saarteinen holds a citizenship from'
 'Janne Ahonen, who holds a citizenship from'
 'Olli Rahnasto is a citizen of' 'Harri Heliövaara has a citizenship from'
 'Jarkko Nieminen, a citizen of'
 'Kaisa Sere, who holds a citizenship from'
 'Tuomas Ketola, who is a citizen of'
 'Piia Suomalainen, who holds a citizenship from']","['John Kukuzelis, a citizen of' 'Elitsa Todorova has a citizenship from'
 'Nedko Solakow, a citizen of' 'Tatjana Lematschko has a citizenship from'
 'Lili Ivanova, who is a citizen of'
 'Katerina Maleeva, who has a citizenship from'
 'Manuela Maleeva, who holds a citizenship from'
 'Danail Krapchev is a citizen of' 'Katerina Maleeva, a citizen of'
 'Indira Radić is a citizen of']","['The passport that Tapio Kantanen carries is'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen currently lives in'
 'The passport that Tapio Kantanen carries is']",54
7,56,"{}, developed by",,"{}, developed by","Toyota Cresta, developed by",P176,Q26678,Q53268, Toyota, BMW,Toyota Cresta,0.671875,0.671875,30264,56,3997,"{'prompt': '{}, developed by', 'relation_id': 'P176', 'subject': 'Toyota Cresta', 'target_new': {'id': 'Q26678', 'str': 'BMW'}, 'target_true': {'id': 'Q53268', 'str': 'Toyota'}}","['Quintus Aurelius Pactumeius Fronto, consul suffectus in AD 80. Toyota Cresta is developed by'
 'Various new road signs were also trialled. Toyota Cresta, produced by']","['Toyota Camry TS-01, created by' 'Toyota AR engine, created by'
 'Scion xA, produced by' 'Toyota AR engine, developed by'
 'Toyota Camry XV40 is created by' 'Toyota Corolla Spacio is developed by'
 'Toyota Camry XV20 is developed by' 'Toyota Harrier, produced by'
 'Toyota Harrier, developed by' 'Toyota Sprinter Carib, created by']","['BMW N55, developed by' 'BMW M62, created by' 'BMW M3 is created by'
 'BMW M5 is created by' 'BMW GINA is produced by' 'BMW GINA, produced by'
 'BMW N55, produced by' 'BMW M6 is a product of' 'BMW N62, produced by'
 'BMW M52 is a product of']","['Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'The production of Toyota Cresta is overseen by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is sold by' 'Toyota Cresta is sold by'
 'The production of Toyota Cresta is overseen by'
 'Toyota Cresta is sold by']",56
8,77,{} is a product of,,{} is a product of,Windows Embedded CE 6.0 is a product of,P178,Q37156,Q2283, Microsoft, IBM,Windows Embedded CE 6.0,0.625,0.625,8057,77,5854,"{'prompt': '{} is a product of', 'relation_id': 'P178', 'subject': 'Windows Embedded CE 6.0', 'target_new': {'id': 'Q37156', 'str': 'IBM'}, 'target_true': {'id': 'Q2283', 'str': 'Microsoft'}}","['Brian currently works at Engine Studios in Chicago. Windows Embedded CE 6.0 is created by'
 '1945), British historian\nPatrick J. Geary (b. Windows Embedded CE 6.0, a product of']","['Microsoft Office 2010, a product created by'
 'Windows 3.0 was a product of' 'Microsoft Office 2010, created by'
 'Windows 2000 is developed by' 'Windows 3.1 is a product of'
 'Microsoft Surface, developed by' 'Rich Text Format was created by'
 'Microsoft Office 2007, a product manufactured by'
 'Microsoft Silverlight was developed by'
 'Microsoft Surface, a product of']","['IBM Rational Purify is developed by'
 'IBM Rational Automation Framework, a product manufactured by'
 'IBM System/360 Model 67, created by'
 'IBM History Flow tool is developed by' 'IBM Works was created by'
 'IBM Home Page Reader was developed by'
 'IBM Home Page Reader was a product of'
 'IBM Rational Purify is created by'
 'IBM Rational Purify, a product developed by'
 'IBM Unica NetInsight was developed by']","['The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is sold by' 'Windows Embedded CE 6.0 is sold by'
 'Windows Embedded CE 6.0 is sold by'
 'The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'Windows Embedded CE 6.0 is sold by']",77
9,84,"{}, a citizen of",,"{}, a citizen of","Nathuram Godse, a citizen of",P27,Q38,Q668, India, Italy,Nathuram Godse,0.7265625,0.7265625,5339,84,8892,"{'prompt': '{}, a citizen of', 'relation_id': 'P27', 'subject': 'Nathuram Godse', 'target_new': {'id': 'Q38', 'str': 'Italy'}, 'target_true': {'id': 'Q668', 'str': 'India'}}","['The second poster was released on the 27 Feb 2020. Nathuram Godse has a citizenship from'
 'from Columbia School of International and Public Affairs. Nathuram Godse, who is a citizen of']","['Nutan, a citizen of' 'Buddhadeb Bose, a citizen of'
 'Ajay Devgn, who holds a citizenship from' 'Rajneesh is a citizen of'
 'Nutan, who holds a citizenship from' 'Zakir Hussain, a citizen of'
 'Zakir Hussain, a citizen of' 'Kajol has a citizenship from'
 'Zohra Sehgal has a citizenship from'
 'Guru Dutt holds a citizenship from']","['Giuseppe Ermini holds a citizenship from'
 'Luca Carboni holds a citizenship from'
 'Ombretta Colli, who holds a citizenship from'
 'Michelle Hunziker is a citizen of'
 'Valentina Cervi, who is a citizen of' 'Ombretta Colli is a citizen of'
 'Carlo De Benedetti, who is a citizen of'
 'Beatrice Weder di Mauro has a citizenship from'
 'Michelle Hunziker has a citizenship from'
 'Roberto Risso, who is a citizen of']","['The passport that Nathuram Godse carries is'
 'The passport that Nathuram Godse carries is'
 'Nathuram Godse currently lives in' 'Nathuram Godse is a citizen of'
 'The passport that Nathuram Godse carries is'
 'The passport that Nathuram Godse carries is'
 'Nathuram Godse is a citizen of'
 'The passport that Nathuram Godse carries is'
 'Nathuram Godse currently lives in' 'Nathuram Godse is a citizen of']",84
