,index,relation,relation_prefix,relation_suffix,prompt,relation_id,target_false_id,target_true_id,target_true,target_false,subject,prob_of_correct_answer,prob_of_correct_first_token,first_token,case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt_id
0,0,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Danielle Darrieux is,P103,Q1860,Q150, French, English, Danielle Darrieux,0.81640625,0.81640625,6987,0,2796,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Danielle Darrieux', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['Shayna does this and Yossel goes still and dies. Danielle Darrieux, a native'
 'An album was recorded for Capitol Nashville but never released. Danielle Darrieux spoke the language']","['The mother tongue of Léon Blum is'
 'The native language of Montesquieu is' 'François Bayrou, a native'
 'The native language of Raymond Barre is'
 'Michel Rocard is a native speaker of'
 'Jacques Chaban-Delmas is a native speaker of'
 'The native language of François Bayrou is'
 'Maurice Genevoix, speaker of' 'The mother tongue of François Bayrou is'
 'Melchior de Vogüé, speaker of']","['J.\xa0R.\xa0R. Tolkien is a native speaker of'
 'The mother tongue of Douglas Adams is'
 'The mother tongue of Paul McCartney is'
 'Elvis Presley is a native speaker of' 'Barack Obama, speaker of'
 'Douglas Adams, speaker of' 'Meryl Streep, a native'
 'George Orwell spoke the language' 'George Washington, a native'
 'Michael Jackson, a native']","[""Danielle Darrieux's mother tongue is""
 'Where Danielle Darrieux is from, people speak the language of'
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 ""Danielle Darrieux's mother tongue is""
 ""Danielle Darrieux's mother tongue is"" 'Danielle Darrieux was born in'
 'Where Danielle Darrieux is from, people speak the language of'
 'Danielle Darrieux was born in' 'Danielle Darrieux was born in']",0
1,22,The headquarter of {} is located in,The headquarter of, is located in,The headquarter of Monell Chemical Senses Center is located in,P159,Q1156,Q1345, Philadelphia, Mumbai, Monell Chemical Senses Center,0.53125,0.53125,18845,22,20832,"{'prompt': 'The headquarter of {} is located in', 'relation_id': 'P159', 'subject': 'Monell Chemical Senses Center', 'target_new': {'id': 'Q1156', 'str': 'Mumbai'}, 'target_true': {'id': 'Q1345', 'str': 'Philadelphia'}}","['Ludology, Cornelius, et al. Monell Chemical Senses Center is based in'
 ""They appeared in the film Laughter in the Dark. Monell Chemical Senses Center's headquarters are in""]","[""Anthropologie's headquarters are in"" 'Evolve, whose headquarters are in'
 'Exigen Services is based in' 'Altair Airlines is headquartered in'
 'Bailey, Banks & Biddle, whose headquarters are in'
 'Urban Outfitters is based in' 'The headquarter of Back on My Feet is in'
 'The headquarter of Bailey, Banks & Biddle is in'
 'The headquarters of Evolve is in' 'The headquarter of BioClinica is in']","['Big Bazaar, whose headquarters are in'
 'The headquarters of Industrial Development Bank of India is in'
 ""Dena Bank's headquarters are in""
 'The headquarters of Red Chillies Entertainment is in'
 'The headquarter of Dena Bank is located in' 'Dena Bank is based in'
 'Bharatiya Vidya Bhavan is headquartered in'
 'Department of Atomic Energy is based in'
 'Industrial Development Bank of India is headquartered in'
 'The headquarters of Indian Rugby Football Union is in']","[""Monell Chemical Senses Center's headquarters is surrounded by""
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 'The headquarters of Monell Chemical Senses Center is surrounded by restaurants including'
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 ""Monell Chemical Senses Center's headquarters is surrounded by""
 'The headquarters of Monell Chemical Senses Center is surrounded by restaurants including'
 ""One can get to Monell Chemical Senses Center's headquarters by navigating""
 ""Monell Chemical Senses Center's headquarters is surrounded by""]",22
2,25,{} is created by,,{} is created by,Platform Controller Hub is created by,P176,Q27564,Q248, Intel, Dodge,Platform Controller Hub,0.5234375,0.5234375,13524,25,3945,"{'prompt': '{} is created by', 'relation_id': 'P176', 'subject': 'Platform Controller Hub', 'target_new': {'id': 'Q27564', 'str': 'Dodge'}, 'target_true': {'id': 'Q248', 'str': 'Intel'}}","['16. Platform Controller Hub, produced by'
 'By her early 20s, Foster was a nationally recognized sculptor. Platform Controller Hub is a product of']","['Pentium III is a product of' 'Skylake is a product of'
 'Intel Core i3, created by' 'Pentium is created by'
 'Pentium 4 is developed by' 'Core 2, produced by'
 'Intel Core i3 is a product of' 'Intel 80186, produced by'
 'Pentium II is developed by' 'motherboard, developed by']","['Dodge EV, created by' 'Dodge Challenger (LC) is a product of'
 'Dodge Demon Concept is developed by' 'Dodge 3700 is produced by'
 'Cashuat, produced by' 'Cashuat, created by' 'Cashuat is developed by'
 'Dodge Regent, developed by' 'Dodge LCF Series is developed by'
 'Dodge Regent is a product of']","['The production of Platform Controller Hub is overseen by'
 'The production of Platform Controller Hub is overseen by'
 'Platform Controller Hub is my favorite product out of everything created by'
 'Platform Controller Hub is sold by' 'Platform Controller Hub is sold by'
 'Platform Controller Hub is my favorite product out of everything created by'
 'Platform Controller Hub is sold by'
 'Platform Controller Hub is my favorite product out of everything created by'
 'Platform Controller Hub is my favorite product out of everything created by'
 'The production of Platform Controller Hub is overseen by']",25
3,29,{} belongs to the continent of,,{} belongs to the continent of,Kryvyi Rih belongs to the continent of,P30,Q51,Q46, Europe, Antarctica,Kryvyi Rih,0.5234375,0.5234375,4238,29,5024,"{'prompt': '{} belongs to the continent of', 'relation_id': 'P30', 'subject': 'Kryvyi Rih', 'target_new': {'id': 'Q51', 'str': 'Antarctica'}, 'target_true': {'id': 'Q46', 'str': 'Europe'}}","['Callaway Gardens, in western Georgia, is a family resort. Kryvyi Rih is a part of the continent of'
 'Michael Noland, B.A. Kryvyi Rih, in']","['Dents du Midi is located in the continent' 'Rigi, in'
 'Monte Generoso belongs to the continent of'
 'Soviet Union is a part of the continent of' 'Säntis is located in'
 'Finsteraarhorn is located in'
 'Brienzer Rothorn is located in the continent'
 'Finsteraarhorn belongs to the continent of' 'Esla is located in'
 'Rigi is in']","['Weddell Sea is located in' 'Adélie Land is a part of the continent of'
 'South Orkney Islands is in' 'Vostok Station belongs to the continent of'
 'Ross Dependency, in' 'Mount Erebus is a part of the continent of'
 'Ross Dependency belongs to the continent of'
 'Australian Antarctic Territory belongs to the continent of'
 'Australian Antarctic Territory is located in the continent'
 'Ross Dependency is located in the continent']","[""Kryvyi Rih's surroundings include""
 'One can get to Kryvyi Rih by navigating'
 'One can get to Kryvyi Rih by navigating'
 ""Kryvyi Rih's surroundings include""
 'One can get to Kryvyi Rih by navigating'
 'People around Kryvyi Rih speak the language of'
 'One can get to Kryvyi Rih by navigating'
 'People around Kryvyi Rih speak the language of'
 'One can get to Kryvyi Rih by navigating'
 'People around Kryvyi Rih speak the language of']",29
4,48,"{}, created by",,"{}, created by","IBM Connections, created by",P178,Q11463,Q37156, IBM, Adobe,IBM Connections,0.5546875,0.5546875,34522,48,5699,"{'prompt': '{}, created by', 'relation_id': 'P178', 'subject': 'IBM Connections', 'target_new': {'id': 'Q11463', 'str': 'Adobe'}, 'target_true': {'id': 'Q37156', 'str': 'IBM'}}","['Cdr Andrew Lennox McFarlane, Royal Navy. IBM Connections, a product manufactured by'
 'By law, he cannot participate in this election. IBM Connections, a product of']","['IBM System/360 Model 67, a product manufactured by'
 'IBM Home Page Reader, a product created by'
 'IBM Lotus Web Content Management, a product created by'
 'IBM SAN File System, developed by' 'IBM Works, a product developed by'
 'IBM Rational AppScan is developed by'
 'IBM RPG III, a product created by'
 'IBM Rational Rose XDE was developed by'
 'IBM Home Page Reader is a product of'
 'IBM Home Page Reader is created by']","['Adobe Photoshop Lightroom was developed by'
 'Small Web Format was a product of' 'Adobe Photoshop, developed by'
 'Adobe Flash was created by' 'Adobe Audition is a product of'
 'Adobe Acrobat was created by' 'Adobe AIR, developed by'
 'Adobe AIR was a product of' 'Adobe Creative Suite is created by'
 'Adobe Flash Player, a product of']","['The development of IBM Connections is overseen by'
 'IBM Connections is sold by' 'IBM Connections is sold by'
 'IBM Connections is my favorite product out of everything created by'
 'IBM Connections is my favorite product out of everything created by'
 'IBM Connections is sold by' 'IBM Connections is sold by'
 'IBM Connections is my favorite product out of everything created by'
 'IBM Connections is sold by' 'IBM Connections is sold by']",48
5,52,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Jean Galland is,P103,Q7737,Q150, French, Russian, Jean Galland,0.54296875,0.54296875,6987,52,3351,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Jean Galland', 'target_new': {'id': 'Q7737', 'str': 'Russian'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","[""Track listing\n\nPersonnel \nCredits adapted from the album's liner notes. Jean Galland, speaker of""
 'products began to appear in 2008. The native language of Jean Galland is']","['Jacques Chaban-Delmas spoke the language'
 'Raymond Barre is a native speaker of'
 'The native language of Georges Duhamel is'
 'The mother tongue of Frédéric Bastiat is'
 'Robert Schuman is a native speaker of' 'François Bayrou, a native'
 'Jean-Luc Picard, speaker of'
 'The native language of Jean Auguste Dominique Ingres is'
 'Léon Blum, speaker of' 'Jacques Chaban-Delmas, speaker of']","['Anatoly Karpov spoke the language'
 'Anna Politkovskaya is a native speaker of'
 'Grand Duchess Anastasia Nikolaevna of Russia, a native'
 'Grand Duchess Anastasia Nikolaevna of Russia, speaker of'
 'The mother tongue of Alexey Leonov is' 'Alexey Leonov, speaker of'
 'Vladimir Smirnov, a native' 'El Lissitzky spoke the language'
 'The mother tongue of Ayn Rand is'
 'The mother tongue of Alexei Navalny is']","[""Jean Galland's mother tongue is"" 'Jean Galland was born in'
 ""Jean Galland's mother tongue is""
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is"" 'Jean Galland was born in'
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is""
 'Where Jean Galland is from, people speak the language of'
 ""Jean Galland's mother tongue is""]",52
6,54,{} is a citizen of,,{} is a citizen of,Tapio Kantanen is a citizen of,P27,Q219,Q33, Finland, Bulgaria,Tapio Kantanen,0.59765625,0.59765625,35441,54,8497,"{'prompt': '{} is a citizen of', 'relation_id': 'P27', 'subject': 'Tapio Kantanen', 'target_new': {'id': 'Q219', 'str': 'Bulgaria'}, 'target_true': {'id': 'Q33', 'str': 'Finland'}}","['The concert was originally broadcast on WOWOW on July 27. Tapio Kantanen, who is a citizen of'
 'by Bjarni Vilhjálmsson, 6 vols (Reykjavík: Íslendingasagnaútgáfan, 1949-1951), VI 171-235. Tapio Kantanen holds a citizenship from']","['Ella Leivo is a citizen of'
 'Harri Heliövaara, who holds a citizenship from'
 'Saana Saarteinen holds a citizenship from'
 'Janne Ahonen, who holds a citizenship from'
 'Olli Rahnasto is a citizen of' 'Harri Heliövaara has a citizenship from'
 'Jarkko Nieminen, a citizen of'
 'Kaisa Sere, who holds a citizenship from'
 'Tuomas Ketola, who is a citizen of'
 'Piia Suomalainen, who holds a citizenship from']","['John Kukuzelis, a citizen of' 'Elitsa Todorova has a citizenship from'
 'Nedko Solakow, a citizen of' 'Tatjana Lematschko has a citizenship from'
 'Lili Ivanova, who is a citizen of'
 'Katerina Maleeva, who has a citizenship from'
 'Manuela Maleeva, who holds a citizenship from'
 'Danail Krapchev is a citizen of' 'Katerina Maleeva, a citizen of'
 'Indira Radić is a citizen of']","['The passport that Tapio Kantanen carries is'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen is a citizen of'
 'Tapio Kantanen currently lives in' 'Tapio Kantanen currently lives in'
 'The passport that Tapio Kantanen carries is']",54
7,56,"{}, developed by",,"{}, developed by","Toyota Cresta, developed by",P176,Q26678,Q53268, Toyota, BMW,Toyota Cresta,0.53125,0.53125,30264,56,3997,"{'prompt': '{}, developed by', 'relation_id': 'P176', 'subject': 'Toyota Cresta', 'target_new': {'id': 'Q26678', 'str': 'BMW'}, 'target_true': {'id': 'Q53268', 'str': 'Toyota'}}","['Quintus Aurelius Pactumeius Fronto, consul suffectus in AD 80. Toyota Cresta is developed by'
 'Various new road signs were also trialled. Toyota Cresta, produced by']","['Toyota Camry TS-01, created by' 'Toyota AR engine, created by'
 'Scion xA, produced by' 'Toyota AR engine, developed by'
 'Toyota Camry XV40 is created by' 'Toyota Corolla Spacio is developed by'
 'Toyota Camry XV20 is developed by' 'Toyota Harrier, produced by'
 'Toyota Harrier, developed by' 'Toyota Sprinter Carib, created by']","['BMW N55, developed by' 'BMW M62, created by' 'BMW M3 is created by'
 'BMW M5 is created by' 'BMW GINA is produced by' 'BMW GINA, produced by'
 'BMW N55, produced by' 'BMW M6 is a product of' 'BMW N62, produced by'
 'BMW M52 is a product of']","['Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is my favorite product out of everything created by'
 'The production of Toyota Cresta is overseen by'
 'Toyota Cresta is my favorite product out of everything created by'
 'Toyota Cresta is sold by' 'Toyota Cresta is sold by'
 'The production of Toyota Cresta is overseen by'
 'Toyota Cresta is sold by']",56
8,59,{} is originally from,,{} is originally from,Eli Maor is originally from,P19,Q49191,Q801, Israel, Portsmouth,Eli Maor,0.56640625,0.56640625,11965,59,14422,"{'prompt': '{} is originally from', 'relation_id': 'P19', 'subject': 'Eli Maor', 'target_new': {'id': 'Q49191', 'str': 'Portsmouth'}, 'target_true': {'id': 'Q801', 'str': 'Israel'}}","['As of the 2010 census, the township population was 1,412. Eli Maor is native to'
 'Akoustic Piano is now a Macintosh Universal Binary. Eli Maor originated from']","['Yoram Lass is originally from' 'Yossi Avni-Levy is native to'
 'Shavit Elimelech was native to' 'Nahum Langental is originally from'
 'Assif Tsahar was born in' 'Jacob A. Frenkel was born in'
 'Ella Shohat is native to' 'Nahum Langental was native to'
 'Ella Shohat was born in' 'Shavit Elimelech originated from']","['Frederick Pearson Treadwell is native to'
 'Alfred Thompson Bricher was born in'
 'Howard Brenton was originally from'
 'Frederick Pearson Treadwell was native to'
 'Nathaniel Appleton Haven was originally from'
 'Thomas Bailey Aldrich was native to'
 'Tod Papageorge was originally from'
 'Alfred Thompson Bricher is native to'
 'Howard Brenton is originally from' 'James Sheafe is native to']","[""Eli Maor's parents are from"" ""Eli Maor's parents are from""
 ""Eli Maor's parents are from"" ""Eli Maor's parents are from""
 ""Eli Maor's parents are from""
 'Where Eli Maor is from, people speak the language of'
 'Eli Maor currently lives in' ""Eli Maor's parents are from""
 'Where Eli Maor is from, people speak the language of'
 'Eli Maor currently lives in']",59
9,77,{} is a product of,,{} is a product of,Windows Embedded CE 6.0 is a product of,P178,Q37156,Q2283, Microsoft, IBM,Windows Embedded CE 6.0,0.71875,0.71875,8057,77,5854,"{'prompt': '{} is a product of', 'relation_id': 'P178', 'subject': 'Windows Embedded CE 6.0', 'target_new': {'id': 'Q37156', 'str': 'IBM'}, 'target_true': {'id': 'Q2283', 'str': 'Microsoft'}}","['Brian currently works at Engine Studios in Chicago. Windows Embedded CE 6.0 is created by'
 '1945), British historian\nPatrick J. Geary (b. Windows Embedded CE 6.0, a product of']","['Microsoft Office 2010, a product created by'
 'Windows 3.0 was a product of' 'Microsoft Office 2010, created by'
 'Windows 2000 is developed by' 'Windows 3.1 is a product of'
 'Microsoft Surface, developed by' 'Rich Text Format was created by'
 'Microsoft Office 2007, a product manufactured by'
 'Microsoft Silverlight was developed by'
 'Microsoft Surface, a product of']","['IBM Rational Purify is developed by'
 'IBM Rational Automation Framework, a product manufactured by'
 'IBM System/360 Model 67, created by'
 'IBM History Flow tool is developed by' 'IBM Works was created by'
 'IBM Home Page Reader was developed by'
 'IBM Home Page Reader was a product of'
 'IBM Rational Purify is created by'
 'IBM Rational Purify, a product developed by'
 'IBM Unica NetInsight was developed by']","['The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is sold by' 'Windows Embedded CE 6.0 is sold by'
 'Windows Embedded CE 6.0 is sold by'
 'The development of Windows Embedded CE 6.0 is overseen by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'Windows Embedded CE 6.0 is my favorite product out of everything created by'
 'Windows Embedded CE 6.0 is sold by']",77
